municipio;população;pop_macro_norte
Abaiara ;10282;1679525
Acarape ;14306;
Acaraú ;68758;
Acopiara ;46215;
Aiuaba ;14220;
Alcântaras ;11754;
Altaneira ;6970;
Alto Santo ;14418;
Amontada ;44342;
Antonina do Norte ;7484;
Apuiarés ;13219;
Aquiraz ;84737;
Aracati ;78752;
Aracoiaba ;26696;
Ararendá ;11485;
Araripe ;20223;
Aratuba ;11459;
Arneiroz ;7619;
Assaré ;22212;
Aurora ;24267;
Baixio ;5832;
Banabuiú ;17654;
Barbalha ;80217;
Barreira ;23351;
Barro ;19669;
Barroquinha ;14977;
Baturité ;36978;
Beberibe ;55666;
Bela Cruz ;34441;
Boa Viagem ;52169;
Brejo Santo ;53778;
Camocim ;65031;
Campos Sales ;26082;
Canindé ;77207;
Capistrano ;17760;
Caridade ;16419;
Cariré ;18075;
Caririaçu ;27482;
Cariús ;17333;
Carnaubal ;17758;
Cascavel ;76365;
Catarina ;9577;
Catunda ;10817;
Caucaia ;375730;
Cedro ;22678;
Chaval ;12805;
Choró ;12380;
Chorozinho ;20763;
Coreaú ;21438;
Crateús ;79809;
Crato ;138232;
Croatá ;18007;
Cruz ;31847;
Deputado Irapuan Pinheiro ;9172;
Ereré ;6393;
Eusébio ;80304;
Farias Brito ;18557;
Forquilha ;25127;
Fortaleza ;2574412;
Fortim ;18052;
Frecheirinha ;16362;
General Sampaio ;6924;
Graça ;14174;
Granja ;55633;
Granjeiro ;4960;
Groaíras ;11313;
Guaiúba ;25085;
Guaraciaba do Norte ;44294;
Guaramiranga ;5819;
Hidrolândia ;18225;
Horizonte ;79934;
Ibaretama ;12191;
Ibiapina ;24649;
Ibicuitinga ;11979;
Icapuí ;22367;
Icó ;64802;
Iguatu ;102251;
Independência ;24530;
Ipaporanga ;11937;
Ipaumirim ;12441;
Ipu ;42968;
Ipueiras ;38285;
Iracema ;14411;
Irauçuba ;24751;
Itaiçaba ;7779;
Itaitinga ;70679;
Itapajé ;49086;
Itapipoca ;137892;
Itapiúna ;18228;
Itarema ;45465;
Itatira ;21087;
Jaguaretama ;17625;
Jaguaribara ;10656;
Jaguaribe ;35124;
Jaguaruana ;33070;
Jardim ;28707;
Jati ;8100;
Jijoca de Jericoacoara ;27662;
Juazeiro do Norte ;303004;
Jucás ;24591;
Lavras da Mangabeira ;32123;
Limoeiro do Norte ;62285;
Madalena ;17264;
Maracanaú ;249684;
Maranguape ;108937;
Marco ;27064;
Martinópole ;11232;
Massapê ;39633;
Mauriti ;47406;
Meruoca ;15749;
Milagres ;26860;
Milhã ;14635;
Miraíma ;14736;
Missão Velha ;38767;
Mombaça ;38649;
Monsenhor Tabosa ;17664;
Morada Nova ;65323;
Moraújo ;8516;
Morrinhos ;23608;
Mucambo ;14009;
Mulungu ;10993;
Nova Olinda ;15960;
Nova Russas ;32014;
Novo Oriente ;29043;
Ocara ;25218;
Orós ;20019;
Pacajus ;74825;
Pacatuba ;85873;
Pacoti ;11442;
Pacujá ;6345;
Palhano ;9671;
Palmácia ;10339;
Paracuru ;41447;
Paraipaba ;33896;
Parambu ;32816;
Paramoti ;10528;
Pedra Branca ;42257;
Penaforte ;9308;
Pentecoste ;39715;
Pereiro ;15869;
Pindoretama ;24607;
Piquet Carneiro ;17202;
Pires Ferreira ;10952;
Poranga ;12423;
Porteiras ;17745;
Potengi ;8926;
Potiretama ;6129;
Quiterianópolis ;20506;
Quixadá ;88483;
Quixelô ;16992;
Quixeramobim ;85797;
Quixeré ;21607;
Redenção ;28359;
Reriutaba ;19059;
Russas ;74582;
Saboeiro ;14036;
Salitre ;17220;
Santana do Acaraú ;32043;
Santana do Cariri ;17388;
Santa Quitéria ;41647;
São Benedito ;49829;
São Gonçalo do Amarante ;57499;
São João do Jaguaribe ;5792;
São Luís do Curu ;10962;
Senador Pompeu ;25143;
Senador Sá ;7519;
Sobral ;215286;
Solonópole ;18736;
Tabuleiro do Norte ;32044;
Tamboril ;25331;
Tarrafas ;7626;
Tauá ;64255;
Tejuçuoca ;17626;
Tianguá ;86137;
Trairi ;61516;
Tururu ;15457;
Ubajara ;34312;
Umari ;6993;
Umirim ;17804;
Uruburetama ;21279;
Uruoca ;14243;
Varjota ;18660;
Várzea Alegre ;40771;
Viçosa do Ceará ;62609;
