CNES - Estabelecimentos por Tipo - Ceará
Quantidade por Município e Tipo de Estabelecimento
Macrorregião de Saúde: 2309 SOBRAL
Período:Mai/2025
"Município";"POSTO DE SAUDE";"CENTRO DE SAUDE/UNIDADE BASICA";"POLICLINICA";"HOSPITAL GERAL";"HOSPITAL ESPECIALIZADO";"UNIDADE MISTA";"CONSULTORIO ISOLADO";"CLINICA/CENTRO DE ESPECIALIDADE";"UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)";"UNIDADE MOVEL TERRESTRE";"UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA";"FARMACIA";"UNIDADE DE VIGILANCIA EM SAUDE";"CENTRO DE PARTO NORMAL - ISOLADO";"CENTRAL DE GESTAO EM SAUDE";"CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA";"CENTRO DE ATENCAO PSICOSSOCIAL";"CENTRO DE APOIO A SAUDE DA FAMILIA";"UNIDADE DE ATENCAO A SAUDE INDIGENA";"PRONTO ATENDIMENTO";"POLO ACADEMIA DA SAUDE";"CENTRAL DE REGULACAO MEDICA DAS URGENCIAS";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"LABORATORIO DE SAUDE PUBLICA";"CENTRAL DE REGULACAO DO ACESSO";"CENTRAL DE NOTIFICACAO,CAPTACAO E DISTRIB DE ORGAOS ESTADUAL";"POLO DE PREVENCAO DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE";"CENTRAL DE ABASTECIMENTO";"CENTRO DE IMUNIZACAO";"Total"
"230020 ACARAU";2;25;2;1;1;-;4;18;2;-;2;1;-;-;2;-;1;-;1;1;-;-;-;-;1;-;-;1;-;65
"230050 ALCANTARAS";1;7;-;-;-;-;-;2;1;-;-;-;-;-;1;-;-;1;-;1;1;-;-;-;-;-;-;1;-;16
"230125 ARARENDA";2;4;-;1;-;-;-;-;1;-;-;1;1;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;13
"230205 BARROQUINHA";-;8;-;1;-;-;-;3;1;-;1;1;1;-;1;-;1;1;-;-;1;-;-;-;-;-;-;-;-;20
"230230 BELA CRUZ";2;15;-;1;-;-;6;11;-;-;1;1;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;40
"230260 CAMOCIM";-;21;1;1;-;-;8;15;5;-;2;4;1;-;2;-;2;1;-;1;-;-;-;-;1;-;-;1;-;66
"230310 CARIRE";2;8;-;1;-;-;1;2;1;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;19
"230340 CARNAUBAL";7;11;-;-;-;1;8;3;2;-;-;1;-;-;1;-;1;-;-;-;1;-;-;-;1;-;-;1;-;38
"230365 CATUNDA";-;5;1;1;-;-;1;1;1;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;-;1;-;15
"230390 CHAVAL";-;7;-;1;-;-;-;4;-;-;-;-;-;-;1;-;1;-;-;1;1;-;-;-;-;-;-;1;-;17
"230400 COREAU";-;8;-;1;-;-;4;1;-;-;1;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;1;-;19
