Município,pop_total,indice_envelhecimento,mediana_idade,pop_ativa_total,pop_ativa_mulheres,pop_ativa_homens,jovens_total,jovens_mulheres,jovens_homens,idosos_total,idosos_mulheres,idosos_homens
BRASIL,203080756,"80,03",35,130838005,66997044,63840961,40129261,19663544,20465717,32113490,17887737,14225753
CEARÁ,8794957,"71,6",33,5701989,2936969,2765020,1802435,880692,921743,1290533,719369,571164
ALCANTARAS,11369,"75,34",33,7273,3701,3572,2336,1111,1225,1760,952,808
CARIRE,17632,"88,82",34,10925,5437,5488,3552,1725,1827,3155,1653,1502
CATUNDA,10444,"88,22",34,6499,3252,3247,2096,1029,1067,1849,935,914
COREAU,20953,"64,62",31,13331,6736,6595,4630,2246,2384,2992,1592,1400
FORQUILHA,24173,"67,12",32,15737,7902,7835,5048,2482,2566,3388,1823,1565
FRECHEIRINHA,15657,"55,1",30,10061,5047,5014,3608,1698,1910,1988,1049,939
GRACA,13801,"77,29",34,8493,4170,4323,2994,1446,1548,2314,1216,1098
GROAIRAS,10910,"87,92",34,7020,3548,3472,2070,988,1082,1820,971,849
HIDROLANDIA,17855,"89,99",35,10793,5344,5449,3717,1814,1903,3345,1711,1634
IPU,41081,"79,23",33,25264,12642,12622,8825,4268,4557,6992,3752,3240
IRAUCUBA,23915,"53,16",29,15102,7545,7557,5754,2749,3005,3059,1527,1532
MASSAPE,37697,"56,4",30,24514,12493,12021,8429,4147,4282,4754,2598,2156
MERUOCA,15157,"70,03",32,9541,4761,4780,3303,1556,1747,2313,1239,1074
MORAUJO,8254,"64,58",31,5331,2683,2648,1776,879,897,1147,578,569
MUCAMBO,13666,"92,83",35,8257,4282,3975,2805,1313,1492,2604,1444,1160
PACUJA,6175,"87,91",35,3798,1955,1843,1265,631,634,1112,625,487
PIRES FERREIRA,10606,"85,38",33,6765,3257,3508,2072,974,1098,1769,890,879
RERIUTABA,18606,"82,52",34,11309,5487,5822,3998,1936,2062,3299,1767,1532
SANTA QUITERIA,30628,"85,49",34,19759,9651,10108,6610,3201,3409,4259,2236,2023
SANTANA DO ACARAU,40183,"64,43",31,25192,12658,12534,8082,3972,4110,6909,3562,3347
SENADOR SA,7262,"62,88",31,4568,2283,2285,1654,824,830,1040,521,519
SOBRAL,203023,"58,06",32,137083,70735,66348,41719,20504,21215,24221,13859,10362
URUOCA,13746,"60,22",31,8869,4356,4513,3044,1524,1520,1833,918,915
VARJOTA,18105,"71,77",33,11229,5626,5603,4003,2000,2003,2873,1533,1340
