Município,pop_total,indice_envelhecimento,mediana_idade,pop_ativa_total,pop_ativa_mulheres,pop_ativa_homens,jovens_total,jovens_mulheres,jovens_homens,idosos_total,idosos_mulheres,idosos_homens
BRASIL,"203.080.756,00","80,03","35,00","130.838.005,00","66.997.044,00","63.840.961,00","40.129.261,00","19.663.544,00","20.465.717,00","32.113.490,00","17.887.737,00","14.225.753,00"
CEARÁ,"8.794.957,00","71,60","33,00","5.701.989,00","2.936.969,00","2.765.020,00","1.802.435,00","880.692,00","921.743,00","1.290.533,00","719.369,00","571.164,00"
ALCANTARAS,"11.369,00","75,34","33,00","7.273,00","3.701,00","3.572,00","2.336,00","1.111,00","1.225,00","1.760,00","952,00","808,00"
CARIRE,"17.632,00","88,82","34,00","10.925,00","5.437,00","5.488,00","3.552,00","1.725,00","1.827,00","3.155,00","1.653,00","1.502,00"
CATUNDA,"10.444,00","88,22","34,00","6.499,00","3.252,00","3.247,00","2.096,00","1.029,00","1.067,00","1.849,00","935,00","914,00"
COREAU,"20.953,00","64,62","31,00","13.331,00","6.736,00","6.595,00","4.630,00","2.246,00","2.384,00","2.992,00","1.592,00","1.400,00"
FORQUILHA,"24.173,00","67,12","32,00","15.737,00","7.902,00","7.835,00","5.048,00","2.482,00","2.566,00","3.388,00","1.823,00","1.565,00"
FRECHEIRINHA,"15.657,00","55,10","30,00","10.061,00","5.047,00","5.014,00","3.608,00","1.698,00","1.910,00","1.988,00","1.049,00","939,00"
GRACA,"13.801,00","77,29","34,00","8.493,00","4.170,00","4.323,00","2.994,00","1.446,00","1.548,00","2.314,00","1.216,00","1.098,00"
GROAIRAS,"10.910,00","87,92","34,00","7.020,00","3.548,00","3.472,00","2.070,00","988,00","1.082,00","1.820,00","971,00","849,00"
HIDROLANDIA,"17.855,00","89,99","35,00","10.793,00","5.344,00","5.449,00","3.717,00","1.814,00","1.903,00","3.345,00","1.711,00","1.634,00"
IPU,"41.081,00","79,23","33,00","25.264,00","12.642,00","12.622,00","8.825,00","4.268,00","4.557,00","6.992,00","3.752,00","3.240,00"
IRAUCUBA,"23.915,00","53,16","29,00","15.102,00","7.545,00","7.557,00","5.754,00","2.749,00","3.005,00","3.059,00","1.527,00","1.532,00"
MASSAPE,"37.697,00","56,40","30,00","24.514,00","12.493,00","12.021,00","8.429,00","4.147,00","4.282,00","4.754,00","2.598,00","2.156,00"
MERUOCA,"15.157,00","70,03","32,00","9.541,00","4.761,00","4.780,00","3.303,00","1.556,00","1.747,00","2.313,00","1.239,00","1.074,00"
MORAUJO,"8.254,00","64,58","31,00","5.331,00","2.683,00","2.648,00","1.776,00","879,00","897,00","1.147,00","578,00","569,00"
MUCAMBO,"13.666,00","92,83","35,00","8.257,00","4.282,00","3.975,00","2.805,00","1.313,00","1.492,00","2.604,00","1.444,00","1.160,00"
PACUJA,"6.175,00","87,91","35,00","3.798,00","1.955,00","1.843,00","1.265,00","631,00","634,00","1.112,00","625,00","487,00"
PIRES FERREIRA,"10.606,00","85,38","33,00","6.765,00","3.257,00","3.508,00","2.072,00","974,00","1.098,00","1.769,00","890,00","879,00"
RERIUTABA,"18.606,00","82,52","34,00","11.309,00","5.487,00","5.822,00","3.998,00","1.936,00","2.062,00","3.299,00","1.767,00","1.532,00"
SANTA QUITERIA,"30.628,00","85,49","34,00","19.759,00","9.651,00","10.108,00","6.610,00","3.201,00","3.409,00","4.259,00","2.236,00","2.023,00"
SANTANA DO ACARAU,"40.183,00","64,43","31,00","25.192,00","12.658,00","12.534,00","8.082,00","3.972,00","4.110,00","6.909,00","3.562,00","3.347,00"
SENADOR SA,"7.262,00","62,88","31,00","4.568,00","2.283,00","2.285,00","1.654,00","824,00","830,00","1.040,00","521,00","519,00"
SOBRAL,"203.023,00","58,06","32,00","137.083,00","70.735,00","66.348,00","41.719,00","20.504,00","21.215,00","24.221,00","13.859,00","10.362,00"
URUOCA,"13.746,00","60,22","31,00","8.869,00","4.356,00","4.513,00","3.044,00","1.524,00","1.520,00","1.833,00","918,00","915,00"
VARJOTA,"18.105,00","71,77","33,00","11.229,00","5.626,00","5.603,00","4.003,00","2.000,00","2.003,00","2.873,00","1.533,00","1.340,00"
