Município,pop_total,mediana_idade,pop_ativa_total,pop_ativa_mulheres,pop_ativa_homens,jovens_total,jovens_mulheres,jovens_homens,idosos_total,idosos_mulheres,idosos_homens
BRASIL,203.080.756,,130.838.005,66.997.044,63.840.961,40.129.261,19.663.544,20.465.717,32.113.490,17.887.737,14.225.753
CEARÁ,8.794.957,,5.701.989,2.936.969,2.765.020,1.802.435,880.692,921.743,1.290.533,719.369,571.164
ALCANTARAS,11.369,33,7.273,3.701,3.572,2.336,1.111,1.225,1.760,952,808
CARIRE,17.632,34,10.925,5.437,5.488,3.552,1.725,1.827,3.155,1.653,1.502
CATUNDA,10.444,34,6.499,3.252,3.247,2.096,1.029,1.067,1.849,935,914
COREAU,20.953,31,13.331,6.736,6.595,4.630,2.246,2.384,2.992,1.592,1.400
FORQUILHA,24.173,32,15.737,7.902,7.835,5.048,2.482,2.566,3.388,1.823,1.565
FRECHEIRINHA,15.657,30,10.061,5.047,5.014,3.608,1.698,1.910,1.988,1.049,939
GRACA,13.801,34,8.493,4.170,4.323,2.994,1.446,1.548,2.314,1.216,1.098
GROAIRAS,10.910,34,7.020,3.548,3.472,2.070,988,1.082,1.820,971,849
HIDROLANDIA,17.855,35,10.793,5.344,5.449,3.717,1.814,1.903,3.345,1.711,1.634
IPU,41.081,33,25.264,12.642,12.622,8.825,4.268,4.557,6.992,3.752,3.240
IRAUCUBA,23.915,29,15.102,7.545,7.557,5.754,2.749,3.005,3.059,1.527,1.532
MASSAPE,37.697,30,24.514,12.493,12.021,8.429,4.147,4.282,4.754,2.598,2.156
MERUOCA,15.157,,9.541,4.761,4.780,3.303,1.556,1.747,2.313,1.239,1.074
MORAUJO,8.254,,5.331,2.683,2.648,1.776,879,897,1.147,578,569
MUCAMBO,13.666,,8.257,4.282,3.975,2.805,1.313,1.492,2.604,1.444,1.160
PACUJA,6.175,,3.798,1.955,1.843,1.265,631,634,1.112,625,487
PIRES FERREIRA,10.606,,6.765,3.257,3.508,2.072,974,1.098,1.769,890,879
RERIUTABA,18.606,,11.309,5.487,5.822,3.998,1.936,2.062,3.299,1.767,1.532
SANTA QUITERIA,30.628,,19.759,9.651,10.108,6.610,3.201,3.409,4.259,2.236,2.023
SANTANA DO ACARAU,40.183,,25.192,12.658,12.534,8.082,3.972,4.110,6.909,3.562,3.347
SENADOR SA,7.262,,4.568,2.283,2.285,1.654,824,830,1.040,521,519
SOBRAL,203.023,32,137.083,70.735,66.348,41.719,20.504,21.215,24.221,13.859,10.362
URUOCA,13.746,31,8.869,4.356,4.513,3.044,1.524,1.520,1.833,918,915
VARJOTA,18.105,,11.229,5626,5603,4003,2000,2003,2873,1533,1340
